### CGp=(-7.500,-7.500,-1.000)     CGw=(0.000,0.000,1.000) 
56 17.600 17.601 19.566  1.17  0.825 -0.784 -0.280  18.425 16.817 19.286
57 18.425 16.817 19.286  0.21  0.175 -0.005 0.120  18.600 16.812 19.406
# collide dist=7.05e-01
56 18.600 16.812 19.406  0.70  0.581 -0.017 0.398  19.181 16.794 19.804
57 19.181 16.794 19.804  0.25  -0.181 0.002 -0.168  19.000 16.796 19.636
# collide dist=2.14e-01
56 19.000 16.796 19.636  0.21  -0.157 0.002 -0.145  18.843 16.798 19.491
57 18.843 16.798 19.491  0.30  0.031 -0.038 -0.291  18.874 16.760 19.200
# collide dist=7.71e-02
56 18.874 16.760 19.200  0.08  0.008 -0.010 -0.076  18.882 16.751 19.124
57 18.882 16.751 19.124  0.14  0.118 0.051 -0.044  19.000 16.801 19.079
# collide dist=1.32e-01
56 19.000 16.801 19.079  0.13  0.115 0.049 -0.043  19.115 16.851 19.036
57 19.115 16.851 19.036  0.43  -0.209 0.349 0.140  18.905 17.200 19.176
56 18.905 17.200 19.176  1.04  -0.505 0.843 0.337  18.400 18.043 19.513
57 18.400 18.043 19.513  0.19  -0.094 0.157 0.063  18.306 18.200 19.576
# collide dist=3.92e-02
56 18.306 18.200 19.576  0.04  -0.019 0.032 0.013  18.287 18.232 19.588
57 18.287 18.232 19.588  0.19  -0.087 -0.167 -0.038  18.200 18.065 19.550
# collide dist=3.59e-01
56 18.200 18.065 19.550  0.36  -0.162 -0.312 -0.071  18.038 17.753 19.479
57 18.038 17.753 19.479  0.19  -0.038 -0.128 0.134  18.000 17.625 19.614
# collide dist=1.73e+00
56 18.000 17.625 19.614  1.73  -0.343 -1.171 1.226  17.657 16.454 20.839
# collide dist=4.54e-02
57 17.657 16.454 20.839  0.05  0.005 0.006 -0.045  17.662 16.460 20.795
# collide dist=1.48e+00
56 17.662 16.460 20.795  1.48  0.964 0.184 1.112  18.625 16.644 21.906
57 18.625 16.644 21.906  0.19  0.175 -0.063 0.024  18.800 16.581 21.931
56 18.800 16.581 21.931  0.43  0.400 -0.145 0.056  19.200 16.436 21.987
# X=101 Y=80 Z=110
# collide dist=1.23e+00
57 19.200 16.436 21.987  1.23  1.147 -0.415 0.161  20.347 16.021 22.148
32 20.347 16.021 22.148  0.41  -0.220 -0.221 -0.263  20.127 15.800 21.885
57 20.127 15.800 21.885  1.06  -0.572 -0.575 -0.685  19.555 15.225 21.200
# collide dist=3.05e-01
56 19.555 15.225 21.200  0.30  -0.164 -0.165 -0.197  19.391 15.060 21.003
57 19.391 15.060 21.003  0.04  0.009 -0.012 -0.037  19.400 15.048 20.967
56 19.400 15.048 20.967  1.91  0.417 -0.589 -1.767  19.817 14.459 19.200
# X=111 Y=55 Z=45
# collide dist=1.31e+00
57 19.817 14.459 19.200  1.31  0.287 -0.406 -1.217  20.104 14.053 17.983
32 20.104 14.053 17.983  0.15  0.096 0.070 0.091  20.200 14.123 18.074
# X=106 Y=75 Z=96
# collide dist=1.80e-01
57 20.200 14.123 18.074  0.18  0.116 0.085 0.109  20.316 14.208 18.183
32 20.316 14.208 18.183  0.30  0.222 0.192 -0.037  20.537 14.400 18.147
# X=107 Y=75 Z=90
# collide dist=9.56e-01
57 20.537 14.400 18.147  0.96  0.717 0.621 -0.119  21.254 15.021 18.028
32 21.254 15.021 18.028  0.18  -0.064 0.170 -0.028  21.190 15.191 18.000
# X=104 Y=81 Z=89
# collide dist=2.03e-01
57 21.190 15.191 18.000  0.20  -0.071 0.188 -0.031  21.119 15.379 17.969
32 21.119 15.379 17.969  0.26  0.020 0.195 -0.169  21.140 15.574 17.800
# X=105 Y=79 Z=87
57 21.140 15.574 17.800  0.57  0.044 0.426 -0.370  21.184 16.000 17.430
32 21.184 16.000 17.430  0.00  0.000 0.000 -0.000  21.184 16.000 17.430
### escape
### CGp=(-7.000,-7.000,-1.000)     CGw=(0.000,0.000,1.000) 
0 31.799 19.000 34.899  0.90  -0.636 0.000 -0.636  31.163 19.000 34.263
1 31.163 19.000 34.263  2.80  -1.980 0.000 -1.980  29.182 19.000 32.283
1 29.182 19.000 32.283  0.00  -0.000 0.000 -0.000  29.182 19.000 32.283
3 29.182 19.000 32.283  6.85  -4.843 0.000 -4.843  24.339 19.000 27.440
3 24.339 19.000 27.440  0.00  -0.000 0.000 -0.000  24.339 19.000 27.440
1 24.339 19.000 27.440  1.01  -0.714 0.000 -0.714  23.625 19.000 26.725
1 23.625 19.000 26.725  0.00  -0.000 0.000 -0.000  23.625 19.000 26.725
#  entering Box at 0.00
0 23.625 19.000 26.725  0.00  -0.000 0.000 -0.000  23.625 19.000 26.725
32 23.625 19.000 26.725  6.97  -4.925 0.000 -4.925  18.699 19.000 21.800
# collide dist=1.53e+00
57 18.699 19.000 21.800  1.53  -1.085 0.000 -1.085  17.614 19.000 20.715
56 17.614 19.000 20.715  2.67  -2.214 1.403 0.528  15.400 20.403 21.243
# X=67 Y=108 Z=108
# collide dist=1.18e+00
57 15.400 20.403 21.243  1.18  -0.974 0.617 0.232  14.426 21.020 21.475
32 14.426 21.020 21.475  0.17  0.129 -0.074 -0.075  14.555 20.946 21.400
57 14.555 20.946 21.400  0.83  0.645 -0.370 -0.376  15.200 20.575 21.024
56 15.200 20.575 21.024  0.39  0.306 -0.175 -0.178  15.506 20.400 20.846
57 15.506 20.400 20.846  0.10  0.080 -0.046 -0.046  15.586 20.354 20.800
# collide dist=1.46e+00
56 15.586 20.354 20.800  1.46  1.130 -0.648 -0.657  16.715 19.706 20.143
57 16.715 19.706 20.143  0.27  -0.023 0.225 -0.143  16.692 19.931 20.000
56 16.692 19.931 20.000  0.08  -0.007 0.069 -0.044  16.685 20.000 19.956
# X=82 Y=106 Z=95
# collide dist=2.17e-01
57 16.685 20.000 19.956  0.22  -0.019 0.182 -0.116  16.666 20.182 19.840
32 16.666 20.182 19.840  0.39  -0.007 -0.382 0.071  16.659 19.800 19.911
57 16.659 19.800 19.911  0.20  -0.004 -0.200 0.037  16.655 19.600 19.948
# collide dist=6.08e-01
56 16.655 19.600 19.948  0.61  -0.011 -0.598 0.111  16.644 19.002 20.059
57 16.644 19.002 20.059  0.09  0.010 -0.069 -0.059  16.655 18.933 20.000
# collide dist=2.10e-01
56 16.655 18.933 20.000  0.21  0.024 -0.158 -0.136  16.678 18.775 19.864
57 16.678 18.775 19.864  0.23  -0.182 -0.018 0.136  16.496 18.758 20.000
# collide dist=5.14e-01
56 16.496 18.758 20.000  0.51  -0.411 -0.040 0.306  16.085 18.718 20.306
57 16.085 18.718 20.306  0.16  -0.085 -0.130 0.021  16.000 18.588 20.327
# collide dist=1.96e-01
56 16.000 18.588 20.327  0.20  -0.106 -0.163 0.026  15.894 18.425 20.353
35 15.894 18.425 20.353  0.08  0.054 -0.025 0.052  15.948 18.400 20.405
# collide dist=1.72e-01
56 15.948 18.400 20.405  0.17  0.118 -0.055 0.112  16.066 18.345 20.517
# collide dist=2.56e-01
57 16.066 18.345 20.517  0.26  -0.058 0.248 0.021  16.009 18.593 20.538
56 16.009 18.593 20.538  1.67  0.991 1.345 -0.027  17.000 19.938 20.511
# X=87 Y=103 Z=102
# collide dist=1.86e-01
57 17.000 19.938 20.511  0.19  0.110 0.150 -0.003  17.110 20.088 20.508
32 17.110 20.088 20.508  0.32  -0.294 -0.078 -0.108  16.816 20.010 20.400
57 16.816 20.010 20.400  0.24  -0.216 -0.057 -0.079  16.600 19.953 20.321
# collide dist=4.07e-01
56 16.600 19.953 20.321  0.41  -0.371 -0.098 -0.136  16.229 19.854 20.184
57 16.229 19.854 20.184  0.21  -0.135 0.146 -0.057  16.094 20.000 20.128
# collide dist=3.11e-01
56 16.094 20.000 20.128  0.31  -0.203 0.219 -0.085  15.891 20.219 20.042
57 15.891 20.219 20.042  0.22  -0.004 -0.219 0.008  15.887 20.000 20.050
# collide dist=8.31e-02
56 15.887 20.000 20.050  0.08  -0.002 -0.083 0.003  15.885 19.917 20.053
# collide dist=2.14e-01
57 15.885 19.917 20.053  0.21  0.004 -0.108 0.185  15.889 19.809 20.238
# collide dist=7.36e-01
56 15.889 19.809 20.238  0.74  0.078 -0.094 -0.726  15.967 19.715 19.511
57 15.967 19.715 19.511  0.13  0.076 -0.054 0.089  16.043 19.661 19.600
# collide dist=1.05e+00
56 16.043 19.661 19.600  1.05  0.620 -0.440 0.722  16.662 19.221 20.322
57 16.662 19.221 20.322  0.17  0.142 0.036 0.078  16.805 19.257 20.400
# collide dist=3.44e-01
56 16.805 19.257 20.400  0.34  0.294 0.075 0.162  17.099 19.333 20.562
57 17.099 19.333 20.562  0.38  0.100 -0.039 -0.362  17.199 19.294 20.200
56 17.199 19.294 20.200  0.83  0.220 -0.085 -0.800  17.419 19.209 19.400
57 17.419 19.209 19.400  0.09  0.023 -0.009 -0.084  17.442 19.200 19.316
56 17.442 19.200 19.316  0.75  0.197 -0.076 -0.716  17.639 19.124 18.600
# X=93 Y=93 Z=73
# collide dist=1.15e+00
57 17.639 19.124 18.600  1.15  0.303 -0.117 -1.102  17.942 19.006 17.498
32 17.942 19.006 17.498  0.11  0.058 -0.091 -0.018  18.000 18.915 17.480
# X=112 Y=59 Z=80
# collide dist=2.24e-01
57 18.000 18.915 17.480  0.22  0.118 -0.187 -0.037  18.118 18.728 17.443
32 18.118 18.728 17.443  0.21  0.136 0.026 0.157  18.254 18.754 17.600
# X=97 Y=94 Z=94
# collide dist=1.48e+00
57 18.254 18.754 17.600  1.48  0.964 0.184 1.112  19.218 18.938 18.712
32 19.218 18.938 18.712  0.41  0.382 -0.138 0.054  19.600 18.800 18.765
# X=99 Y=93 Z=93
57 19.600 18.800 18.765  0.26  0.247 -0.089 0.035  19.847 18.711 18.800
32 19.847 18.711 18.800  0.00  0.000 -0.000 0.000  19.847 18.711 18.800
### escape
### CGp=(-6.500,-6.500,-1.000)     CGw=(0.000,0.000,1.000) 
0 31.445 18.500 35.253  0.90  -0.636 0.000 -0.636  30.809 18.500 34.617
1 30.809 18.500 34.617  2.17  -1.533 0.000 -1.533  29.276 18.500 33.084
3 29.276 18.500 33.084  7.48  -5.291 0.000 -5.291  23.985 18.500 27.793
1 23.985 18.500 27.793  1.01  -0.714 0.000 -0.714  23.271 18.500 27.079
#  entering Box at 0.39
0 23.271 18.500 27.079  0.39  -0.279 0.000 -0.279  22.992 18.500 26.800
32 22.992 18.500 26.800  0.00  -0.000 0.000 -0.000  22.992 18.500 26.800
#  entering Box at 0.00
0 22.992 18.500 26.800  0.00  -0.000 0.000 -0.000  22.992 18.500 26.800
32 22.992 18.500 26.800  5.93  -4.192 0.000 -4.192  18.800 18.500 22.608
57 18.800 18.500 22.608  1.14  -0.808 0.000 -0.808  17.992 18.500 21.800
# collide dist=2.39e+00
56 17.992 18.500 21.800  2.39  -1.688 0.000 -1.688  16.304 18.500 20.112
57 16.304 18.500 20.112  0.25  -0.002 -0.234 0.088  16.302 18.266 20.200
# collide dist=3.39e-02
56 16.302 18.266 20.200  0.03  -0.000 -0.032 0.012  16.302 18.234 20.212
57 16.302 18.234 20.212  0.32  -0.261 0.166 0.062  16.040 18.400 20.274
# collide dist=1.18e+00
56 16.040 18.400 20.274  1.18  -0.974 0.617 0.232  15.066 19.017 20.506
57 15.066 19.017 20.506  0.17  0.134 -0.077 -0.078  15.200 18.940 20.429
# collide dist=2.61e+00
56 15.200 18.940 20.429  2.61  2.023 -1.161 -1.177  17.223 17.780 19.251
57 17.223 17.780 19.251  0.20  -0.029 -0.180 0.082  17.194 17.600 19.334
# collide dist=6.66e-02
56 17.194 17.600 19.334  0.07  -0.010 -0.060 0.027  17.185 17.540 19.361
57 17.185 17.540 19.361  0.15  0.146 -0.003 0.039  17.331 17.537 19.400
# collide dist=5.87e-01
56 17.331 17.537 19.400  0.59  0.567 -0.011 0.150  17.898 17.527 19.550
57 17.898 17.527 19.550  0.34  0.037 -0.327 -0.092  17.935 17.200 19.458
# collide dist=1.45e-01
56 17.935 17.200 19.458  0.15  0.016 -0.139 -0.039  17.951 17.061 19.419
57 17.951 17.061 19.419  0.11  0.049 0.007 -0.094  18.000 17.068 19.325
# collide dist=1.87e+00
56 18.000 17.068 19.325  1.87  0.868 0.121 -1.656  18.868 17.189 17.668
# X=108 Y=76 Z=85
# collide dist=7.37e-01
57 18.868 17.189 17.668  0.74  0.589 -0.424 -0.128  19.457 16.764 17.541
32 19.457 16.764 17.541  0.12  -0.118 0.036 0.011  19.339 16.800 17.552
57 19.339 16.800 17.552  0.54  -0.511 0.155 0.048  18.828 16.955 17.600
# collide dist=1.50e+00
56 18.828 16.955 17.600  1.50  -1.427 0.433 0.134  17.402 17.388 17.734
# collide dist=9.30e-02
57 17.402 17.388 17.734  0.09  0.010 0.091 0.015  17.412 17.479 17.749
# collide dist=8.87e-01
56 17.412 17.479 17.749  0.89  -0.755 0.409 -0.223  16.657 17.888 17.525
57 16.657 17.888 17.525  0.13  -0.059 0.112 -0.025  16.598 18.000 17.500
# collide dist=1.44e-01
56 16.598 18.000 17.500  0.14  -0.066 0.125 -0.028  16.532 18.125 17.471
# collide dist=2.56e-01
57 16.532 18.125 17.471  0.26  -0.058 0.248 0.021  16.475 18.373 17.493
56 16.475 18.373 17.493  1.22  0.725 0.984 -0.020  17.200 19.358 17.473
# X=89 Y=101 Z=87
# collide dist=1.86e-01
57 17.200 19.358 17.473  0.19  0.110 0.150 -0.003  17.310 19.507 17.470
32 17.310 19.507 17.470  0.21  -0.190 -0.050 -0.070  17.120 19.457 17.400
57 17.120 19.457 17.400  0.35  -0.320 -0.085 -0.118  16.800 19.372 17.282
# collide dist=4.07e-01
56 16.800 19.372 17.282  0.41  -0.371 -0.098 -0.136  16.429 19.274 17.146
57 16.429 19.274 17.146  0.18  -0.117 0.126 -0.049  16.312 19.400 17.097
# collide dist=3.11e-01
56 16.312 19.400 17.097  0.31  -0.203 0.219 -0.085  16.109 19.619 17.012
57 16.109 19.619 17.012  0.22  -0.004 -0.219 0.008  16.105 19.400 17.019
# collide dist=8.31e-02
56 16.105 19.400 17.019  0.08  -0.002 -0.083 0.003  16.103 19.317 17.022
# collide dist=2.14e-01
57 16.103 19.317 17.022  0.21  0.004 -0.108 0.185  16.107 19.209 17.207
# collide dist=7.36e-01
56 16.107 19.209 17.207  0.74  0.078 -0.094 -0.726  16.184 19.115 16.481
# collide dist=1.32e-01
57 16.184 19.115 16.481  0.13  0.078 -0.055 0.091  16.263 19.059 16.572
# collide dist=5.73e-01
56 16.263 19.059 16.572  0.57  -0.279 0.465 0.186  15.984 19.524 16.758
# collide dist=3.92e-02
57 15.984 19.524 16.758  0.04  -0.032 0.021 -0.006  15.952 19.546 16.752
# collide dist=3.03e+00
56 15.952 19.546 16.752  3.03  -1.370 -2.634 -0.598  14.581 16.912 16.153
55 14.581 16.912 16.153  0.07  0.051 -0.014 0.047  14.632 16.898 16.200
# collide dist=3.52e-01
56 14.632 16.898 16.200  0.35  0.254 -0.069 0.233  14.886 16.829 16.433
# collide dist=1.07e-01
57 14.886 16.829 16.433  0.11  -0.066 0.061 -0.059  14.821 16.890 16.374
# collide dist=6.29e-01
56 14.821 16.890 16.374  0.63  0.254 0.097 -0.567  15.074 16.987 15.807
51 15.074 16.987 15.807  0.03  -0.018 0.019 -0.007  15.056 17.006 15.800
# collide dist=2.11e-01
56 15.056 17.006 15.800  0.21  -0.140 0.148 -0.054  14.916 17.154 15.746
57 14.916 17.154 15.746  0.39  -0.100 -0.354 -0.138  14.816 16.800 15.608
# collide dist=1.23e+00
56 14.816 16.800 15.608  1.23  -0.314 -1.108 -0.433  14.501 15.692 15.174
57 14.501 15.692 15.174  0.19  -0.101 -0.102 -0.121  14.400 15.590 15.053
# collide dist=3.05e-01
56 14.400 15.590 15.053  0.30  -0.164 -0.165 -0.197  14.236 15.425 14.857
57 14.236 15.425 14.857  0.08  0.018 -0.025 -0.076  14.254 15.400 14.781
56 14.254 15.400 14.781  1.06  0.231 -0.327 -0.981  14.485 15.073 13.800
# X=83 Y=59 Z=21
# collide dist=1.31e+00
57 14.485 15.073 13.800  1.31  0.287 -0.406 -1.217  14.772 14.667 12.583
32 14.772 14.667 12.583  0.04  0.028 0.020 0.026  14.800 14.687 12.610
# collide dist=1.80e-01
57 14.800 14.687 12.610  0.18  0.116 0.085 0.109  14.916 14.772 12.719
51 14.916 14.772 12.719  0.11  0.084 0.073 -0.014  15.000 14.845 12.705
# collide dist=1.00e+00
57 15.000 14.845 12.705  1.00  0.753 0.652 -0.125  15.753 15.498 12.580
49 15.753 15.498 12.580  0.22  0.098 0.087 -0.180  15.851 15.584 12.400
# collide dist=4.90e-02
57 15.851 15.584 12.400  0.05  0.021 0.019 -0.040  15.872 15.604 12.360
49 15.872 15.604 12.360  0.11  0.002 -0.106 0.040  15.874 15.498 12.400
# collide dist=6.79e-01
57 15.874 15.498 12.400  0.68  0.011 -0.636 0.238  15.885 14.862 12.638
46 15.885 14.862 12.638  0.11  -0.039 -0.098 -0.038  15.846 14.763 12.600
# collide dist=2.38e+00
57 15.846 14.763 12.600  2.38  -0.818 -2.080 -0.810  15.028 12.684 11.790
52 15.028 12.684 11.790  0.05  -0.040 -0.025 0.010  14.987 12.659 11.800
# X=37 Y=40 Z=68
# collide dist=1.18e+00
57 14.987 12.659 11.800  1.18  -0.981 -0.603 0.241  14.007 12.056 12.041
32 14.007 12.056 12.041  0.19  0.038 -0.090 0.159  14.045 11.966 12.200
# collide dist=1.28e+00
57 14.045 11.966 12.200  1.28  0.262 -0.617 1.086  14.307 11.348 13.286
56 14.307 11.348 13.286  0.17  0.133 0.052 0.095  14.440 11.400 13.381
# collide dist=1.14e+00
57 14.440 11.400 13.381  1.14  0.884 0.344 0.631  15.324 11.744 14.012
# collide dist=2.03e-01
56 15.324 11.744 14.012  0.20  -0.139 -0.111 0.099  15.186 11.633 14.111
# X=97 Y=91 Z=67
# collide dist=3.66e+00
57 15.186 11.633 14.111  3.66  1.978 3.070 -0.267  17.164 14.703 13.844
32 17.164 14.703 13.844  0.28  -0.132 -0.059 -0.244  17.031 14.644 13.600
# collide dist=1.43e+00
57 17.031 14.644 13.600  1.43  -0.668 -0.299 -1.230  16.363 14.345 12.370
52 16.363 14.345 12.370  0.10  -0.052 0.055 0.071  16.311 14.400 12.442
# collide dist=1.93e-01
57 16.311 14.400 12.442  0.19  -0.096 0.102 0.133  16.215 14.502 12.574
51 16.215 14.502 12.574  0.39  0.385 0.081 -0.022  16.600 14.584 12.552
# X=110 Y=78 Z=61
# collide dist=1.04e+00
57 16.600 14.584 12.552  1.04  1.020 0.215 -0.058  17.620 14.799 12.495
32 17.620 14.799 12.495  0.18  -0.041 -0.139 0.105  17.579 14.660 12.600
# collide dist=2.45e+00
57 17.579 14.660 12.600  2.45  -0.559 -1.896 1.440  17.020 12.764 14.040
56 17.020 12.764 14.040  0.10  -0.004 0.095 -0.040  17.016 12.859 14.000
# collide dist=1.04e+00
57 17.016 12.859 14.000  1.04  -0.037 0.955 -0.403  16.979 13.814 13.597
49 16.979 13.814 13.597  0.03  0.022 -0.012 0.003  17.001 13.803 13.600
# X=114 Y=53 Z=72
# collide dist=2.47e+00
57 17.001 13.803 13.600  2.47  2.176 -1.127 0.313  19.178 12.676 13.913
32 19.178 12.676 13.913  0.23  0.022 0.228 -0.001  19.200 12.903 13.912
# X=98 Y=91 Z=69
# collide dist=1.31e+00
57 19.200 12.903 13.912  1.31  0.128 1.299 -0.004  19.328 14.202 13.908
32 19.328 14.202 13.908  0.31  0.072 0.302 -0.037  19.400 14.504 13.871
# X=101 Y=89 Z=67
# collide dist=3.99e-01
57 19.400 14.504 13.871  0.40  0.092 0.386 -0.047  19.492 14.890 13.823
32 19.492 14.890 13.823  0.14  -0.066 0.110 -0.048  19.426 15.000 13.775
# X=83 Y=98 Z=58
# collide dist=4.67e-01
57 19.426 15.000 13.775  0.47  -0.225 0.375 -0.164  19.201 15.375 13.611
32 19.201 15.375 13.611  0.30  -0.181 -0.175 0.167  19.020 15.200 13.778
# collide dist=4.65e-01
57 19.020 15.200 13.778  0.46  -0.279 -0.268 0.257  18.741 14.932 14.035
56 18.741 14.932 14.035  0.14  -0.016 -0.139 -0.035  18.725 14.793 14.000
# X=88 Y=27 Z=58
# collide dist=1.88e+00
57 18.725 14.793 14.000  1.88  -0.209 -1.810 -0.462  18.516 12.982 13.538
32 18.516 12.982 13.538  0.19  -0.180 0.018 0.046  18.336 13.000 13.584
57 18.336 13.000 13.584  4.49  -4.336 0.424 1.105  14.000 13.424 14.689
56 14.000 13.424 14.689  0.62  -0.600 0.059 0.153  13.400 13.483 14.842
# collide dist=8.77e-01
55 13.400 13.483 14.842  0.88  -0.846 0.083 0.216  12.554 13.565 15.057
56 12.554 13.565 15.057  0.19  -0.154 0.100 0.053  12.400 13.665 15.110
55 12.400 13.665 15.110  1.40  -1.130 0.735 0.389  11.270 14.400 15.499
# collide dist=4.45e-01
56 11.270 14.400 15.499  0.44  -0.358 0.233 0.123  10.912 14.633 15.622
# collide dist=7.75e-02
35 10.912 14.633 15.622  0.08  0.021 -0.072 0.019  10.932 14.561 15.641
# collide dist=1.63e+00
56 10.932 14.561 15.641  1.63  1.068 1.229 -0.056  12.000 15.790 15.585
57 12.000 15.790 15.585  0.23  0.079 0.008 0.215  12.080 15.798 15.800
# collide dist=8.72e-01
56 12.080 15.798 15.800  0.87  0.302 0.032 0.817  12.382 15.831 16.617
35 12.382 15.831 16.617  0.26  -0.182 0.182 -0.016  12.200 16.013 16.602
# collide dist=1.55e+00
56 12.200 16.013 16.602  1.55  -1.090 1.093 -0.094  11.110 17.106 16.507
57 11.110 17.106 16.507  0.31  -0.310 0.035 0.045  10.800 17.141 16.552
# collide dist=2.91e+00
56 10.800 17.141 16.552  2.91  -2.865 0.326 0.412  7.935 17.467 16.964
57 7.935 17.467 16.964  0.16  -0.153 0.005 0.036  7.782 17.472 17.000
# collide dist=3.40e-01
56 7.782 17.472 17.000  0.34  -0.331 0.010 0.078  7.451 17.482 17.078
# X=30 Y=86 Z=85
57 7.451 17.482 17.078  1.46  -1.451 -0.162 -0.058  6.000 17.320 17.020
32 6.000 17.320 17.020  0.00  -0.000 -0.000 -0.000  6.000 17.320 17.020
### escape
### CGp=(-6.000,-6.000,-1.000)     CGw=(0.000,0.000,1.000) 
0 31.092 18.000 35.607  0.90  -0.636 0.000 -0.636  30.455 18.000 34.970
0 30.455 18.000 34.970  0.00  -0.000 0.000 -0.000  30.455 18.000 34.970
1 30.455 18.000 34.970  1.53  -1.085 0.000 -1.085  29.370 18.000 33.885
3 29.370 18.000 33.885  8.12  -5.739 0.000 -5.739  23.632 18.000 28.147
3 23.632 18.000 28.147  0.00  -0.000 0.000 -0.000  23.632 18.000 28.147
1 23.632 18.000 28.147  1.01  -0.714 0.000 -0.714  22.918 18.000 27.432
#  entering Box at 0.89
0 22.918 18.000 27.432  0.89  -0.632 0.000 -0.632  22.285 18.000 26.800
32 22.285 18.000 26.800  0.00  -0.000 0.000 -0.000  22.285 18.000 26.800
#  entering Box at 0.00
0 22.285 18.000 26.800  0.00  -0.000 0.000 -0.000  22.285 18.000 26.800
32 22.285 18.000 26.800  5.21  -3.685 0.000 -3.685  18.600 18.000 23.115
57 18.600 18.000 23.115  1.13  -0.800 0.000 -0.800  17.800 18.000 22.315
# collide dist=6.99e-01
56 17.800 18.000 22.315  0.70  -0.494 0.000 -0.494  17.306 18.000 21.820
57 17.306 18.000 21.820  0.02  0.002 -0.006 -0.020  17.308 17.994 21.800
# collide dist=6.09e+00
56 17.308 17.994 21.800  6.09  0.645 -1.765 -5.798  17.953 16.229 16.002
57 17.953 16.229 16.002  0.18  -0.053 0.171 -0.036  17.899 16.400 15.966
# collide dist=1.29e+00
56 17.899 16.400 15.966  1.29  -0.377 1.209 -0.255  17.522 17.609 15.711
57 17.522 17.609 15.711  0.14  -0.122 -0.012 -0.066  17.400 17.597 15.645
56 17.400 17.597 15.645  0.68  -0.600 -0.060 -0.322  16.800 17.537 15.323
# collide dist=6.66e-02
57 16.800 17.537 15.323  0.07  -0.058 -0.006 -0.031  16.742 17.531 15.292
56 16.742 17.531 15.292  0.27  0.258 -0.005 0.068  17.000 17.526 15.360
57 17.000 17.526 15.360  0.21  0.200 -0.004 0.053  17.200 17.522 15.412
# collide dist=6.08e-01
56 17.200 17.522 15.412  0.61  0.588 -0.011 0.155  17.788 17.511 15.568
